unit_id,plant_id,unit_name,plant_name,operating_status,primary_fuel,technology,capacity,capacity_rating,admin_0,admin_1,latitude,longitude,location_accuracy,secondary_fuel,tertiary_fuel,quaternary_fuel,quinary_fuel,start_date,retired_date,planned_retire_date,is_captive,captive_use,captive_sector,has_ccs,constructed_before,constructed_after,construction_date,river,operating_status_detail
TZPWR2403000054344U010,TZPWR2403000054344,Bin Qasim power station - Phase 1 Repower Project Unit 4,Bin Qasim power station,inactive,coal-unspecified,coal-unspecified,210,MW,PAK,PAK-SD,24.784864,67.360305,exact,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,cancelled
TZPWR2403000054345U000,TZPWR2403000054345,Bostan solar farm - 1,Bostan solar farm,committed,NA,photovoltaic-unspecified,50,MW,PAK,PAK-BA,30.5829,66.9966,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,pre_construction
TZPWR2403000054345U001,TZPWR2403000054345,Bostan solar farm - 2,Bostan solar farm,committed,NA,photovoltaic-unspecified,50,MW,PAK,PAK-BA,30.5829,66.9966,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,pre_construction
TZPWR2403000054346U000,TZPWR2403000054346,Bulleh Shah Paper Mill power station - 2R,Bulleh Shah Paper Mill power station,operating,agricultural-waste-solids,biomass,41,MW,PAK,PAK-PB,31.1303,74.3585,exact,NA,NA,NA,NA,01/01/2015,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054347U000,TZPWR2403000054347,Bunji hydroelectric plant,Bunji hydroelectric plant,committed,water,hydro-run-of-river,7100,MW,PAK,PAK-NA,36,75,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,Indus River,pre_construction
TZPWR2403000054348U000,TZPWR2403000054348,Burj Gharo Energy wind farm,Burj Gharo Energy wind farm,inactive,NA,wind-onshore,50,MW,PAK,PAK-SD,24.7439,67.5829,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,shelved
TZPWR2403000054349U000,TZPWR2403000054349,Burj wind farm,Burj wind farm,inactive,NA,wind-onshore,14,MW,PAK,PAK-SD,24.7348,67.8176,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,shelved
TZPWR2403000054350U000,TZPWR2403000054350,Cacho wind farm,Cacho wind farm,planned,NA,wind-onshore,50,MW,PAK,PAK-SD,25.0399,67.7755,exact,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,announced
TZPWR2403000054351U000,TZPWR2403000054351,Chakothi Hattian hydroelectric plant,Chakothi Hattian hydroelectric plant,inactive,water,hydro-run-of-river,500,MW,PAK,PAK-PB,29.8333,70.5001,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,Jhelum River,inactive
TZPWR2403000054352U000,TZPWR2403000054352,Chakwal solar farm,Chakwal solar farm,planned,NA,photovoltaic-unspecified,50,MW,PAK,PAK-PB,32.9276,72.8066,approximate,NA,NA,NA,NA,,,,FALSE,,,FALSE,,,,,announced
TZPWR2403000054353U000,TZPWR2403000054353,Chashma hydroelectric plant,Chashma hydroelectric plant,operating,water,hydro-reservoir,184,MW,PAK,PAK-PB,32.4351,71.3699,exact,NA,NA,NA,NA,01/01/2001,,,FALSE,,,FALSE,,,,Indus River,operating
TZPWR2403000054354U000,TZPWR2403000054354,Chashma nuclear power plant - 1,Chashma nuclear power plant,operating,uranium,pressurized-water-reactor,325,MW,PAK,PAK-PB,32.392,71.4616,exact,NA,NA,NA,NA,01/01/2000,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054354U001,TZPWR2403000054354,Chashma nuclear power plant - 2,Chashma nuclear power plant,operating,uranium,pressurized-water-reactor,325,MW,PAK,PAK-PB,32.392,71.4616,exact,NA,NA,NA,NA,01/01/2011,,,FALSE,,,FALSE,,,,,operating
TZPWR2403000054354U002,TZPWR2403000054354,Chashma nuclear power plant - 3,Chashma nuclear power plant,operating,uranium,pressurized-water-reactor,340,MW,PAK,PAK-PB,32.392,71.4616,exact,NA,NA,NA,NA,01/01/2016,,,FALSE,,,FALSE,,,,,operating
